qb_name,team,season,games_played,total_pass_attempts,total_completions,total_pass_yards,total_pass_tds,passing_tds_per_game,red_zone_accuracy_rating,deep_ball_completion_pct,clean_pocket_accuracy,pressured_completion_pct,avg_depth_of_target,first_half_tds,first_half_td_rate,third_down_conversion_pct,fourth_quarter_tds,td_rate_vs_top10_defenses,td_rate_vs_bottom10_defenses
Davis Mills,Houston Texans,2025,1,4.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Dillon Gabriel,Cleveland Browns,2025,5,107.0,64.0,0,3.0,0.6,0.0,0.2,0.0,0.00444444,0,0,0,0,0,0,0
Drake Maye,New England Patriots,2025,7,202.0,152.0,0,12.0,1.7142857142857142,0.0,0.578947,0.0,0.0065714300000000005,0,0,0,0,0,0,0
Drew Lock,Seattle Seahawks,2025,1,3.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Gardner Minshew,Kansas City Chiefs,2025,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Geno Smith,Las Vegas Raiders,2025,7,202.0,133.0,0,7.0,1.0,0.0,0.421053,0.0,0.00555556,0,0,0,0,0,0,0
J.J. McCarthy,Minnesota Vikings,2025,2,41.0,24.0,0,2.0,1.0,0.0,0.333333,0.0,0.00533333,0,0,0,0,0,0,0
Jacoby Brissett,Arizona Cardinals,2025,4,81.0,52.0,0,4.0,1.0,0.0,0.571429,0.0,0.00428571,0,0,0,0,0,0,0
Jake Browning,Cincinnati Bengals,2025,4,124.0,80.0,0,6.0,1.5,0.0,0.294118,0.0,0.00555556,0,0,0,0,0,0,0
Jalen Hurts,Philadelphia Eagles,2025,7,195.0,136.0,0,11.0,1.5714285714285714,0.0,0.423077,0.0,0.00666667,0,0,0,0,0,0,0
Jalen Milroe,Seattle Seahawks,2025,3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Jared Goff,Detroit Lions,2025,6,174.0,132.0,0,14.0,2.3333333333333335,0.0,0.307692,0.0,0.006046510000000001,0,0,0,0,0,0,0
