game,home_team,away_team,team,spread,odds,sportsbook,game_time
Denver Broncos @ Houston Texans,Houston Texans,Denver Broncos,Denver Broncos,-1.5,-104,FanDuel,2025-11-02T18:00:00Z
Denver Broncos @ Houston Texans,Houston Texans,Denver Broncos,Houston Texans,1.5,-118,FanDuel,2025-11-02T18:00:00Z
Minnesota Vikings @ Detroit Lions,Detroit Lions,Minnesota Vikings,Detroit Lions,-7.0,-120,DraftKings,2025-11-02T18:00:00Z
Minnesota Vikings @ Detroit Lions,Detroit Lions,Minnesota Vikings,Minnesota Vikings,7.0,100,DraftKings,2025-11-02T18:00:00Z
Minnesota Vikings @ Detroit Lions,Detroit Lions,Minnesota Vikings,Detroit Lions,-8.5,-105,FanDuel,2025-11-02T18:00:00Z
Minnesota Vikings @ Detroit Lions,Detroit Lions,Minnesota Vikings,Minnesota Vikings,8.5,-115,FanDuel,2025-11-02T18:00:00Z
Indianapolis Colts @ Pittsburgh Steelers,Pittsburgh Steelers,Indianapolis Colts,Indianapolis Colts,-2.5,-110,DraftKings,2025-11-02T18:00:00Z
Indianapolis Colts @ Pittsburgh Steelers,Pittsburgh Steelers,Indianapolis Colts,Pittsburgh Steelers,2.5,-110,DraftKings,2025-11-02T18:00:00Z
Indianapolis Colts @ Pittsburgh Steelers,Pittsburgh Steelers,Indianapolis Colts,Indianapolis Colts,-2.5,-114,FanDuel,2025-11-02T18:00:00Z
Indianapolis Colts @ Pittsburgh Steelers,Pittsburgh Steelers,Indianapolis Colts,Pittsburgh Steelers,2.5,-106,FanDuel,2025-11-02T18:00:00Z
Los Angeles Chargers @ Tennessee Titans,Tennessee Titans,Los Angeles Chargers,Los Angeles Chargers,-7.5,-110,DraftKings,2025-11-02T18:00:00Z
Los Angeles Chargers @ Tennessee Titans,Tennessee Titans,Los Angeles Chargers,Tennessee Titans,7.5,-110,DraftKings,2025-11-02T18:00:00Z
